
Classifying The Data ...
    Number of input layer nodes  : 120
    Number of hidden layer nodes : 20
    Hidden Layer Activation Type : ReLU
    Output Layer Activation Type : Logistic

Frame Number 125, Classification: 3, Probability: 1.000000
Frame Number 126, Classification: 3, Probability: 1.000000
Frame Number 127, Classification: 3, Probability: 1.000000
Frame Number 128, Classification: 3, Probability: 1.000000
Frame Number 129, Classification: 3, Probability: 1.000000
Frame Number 130, Classification: 3, Probability: 1.000000
Frame Number 131, Classification: 3, Probability: 1.000000
Frame Number 132, Classification: 3, Probability: 1.000000
Frame Number 133, Classification: 3, Probability: 1.000000
Frame Number 134, Classification: 3, Probability: 1.000000
Frame Number 135, Classification: 3, Probability: 1.000000
Frame Number 136, Classification: 3, Probability: 1.000000
Frame Number 137, Classification: 3, Probability: 1.000000
Frame Number 138, Classification: 3, Probability: 1.000000
Frame Number 139, Classification: 3, Probability: 1.000000
Frame Number 140, Classification: 3, Probability: 1.000000
Frame Number 141, Classification: 3, Probability: 1.000000
Frame Number 142, Classification: 3, Probability: 1.000000
Frame Number 143, Classification: 3, Probability: 1.000000
Frame Number 144, Classification: 3, Probability: 1.000000
Frame Number 145, Classification: 3, Probability: 1.000000
Frame Number 146, Classification: 3, Probability: 1.000000
Frame Number 147, Classification: 3, Probability: 1.000000
Frame Number 148, Classification: 3, Probability: 1.000000
Frame Number 149, Classification: 3, Probability: 1.000000
Frame Number 150, Classification: 3, Probability: 1.000000
Frame Number 151, Classification: 3, Probability: 1.000000
Frame Number 152, Classification: 3, Probability: 1.000000
Frame Number 153, Classification: 3, Probability: 1.000000
Frame Number 154, Classification: 3, Probability: 1.000000
Frame Number 155, Classification: 3, Probability: 1.000000
Frame Number 156, Classification: 3, Probability: 1.000000
Frame Number 157, Classification: 3, Probability: 1.000000
Frame Number 158, Classification: 3, Probability: 1.000000
Frame Number 159, Classification: 3, Probability: 1.000000
Frame Number 160, Classification: 3, Probability: 1.000000
Frame Number 161, Classification: 3, Probability: 1.000000
Frame Number 162, Classification: 3, Probability: 1.000000
Frame Number 163, Classification: 3, Probability: 1.000000
Frame Number 164, Classification: 3, Probability: 1.000000
Frame Number 165, Classification: 3, Probability: 1.000000
Frame Number 166, Classification: 3, Probability: 1.000000
Frame Number 167, Classification: 3, Probability: 1.000000
